날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-02,DH리프팅,289340,10,10,113,339,143,308000,11,-18660,-1,8.85%
2025-07-02,곰(베이지),22910,1,1,25,35,4,22910,1,0,0,4.00%
2025-07-02,노비어,1494000,83,83,956,1348,215,1584000,88,-90000,-5,8.68%
2025-07-02,닥터코링+,260400,12,12,104,219,45,303800,14,-43400,-2,11.54%
2025-07-02,리필,132000,11,11,210,292,22,132000,11,0,0,5.24%
2025-07-02,신방스,43200,3,4,37,78,18,54000,5,-10800,-1,8.11%
2025-07-02,아이씰12p,995300,37,37,901,1060,58,1076000,40,-80700,-3,4.11%
2025-07-02,아이씰6p,1102600,73,74,710,972,161,1206900,81,-104300,-7,10.28%
2025-07-02,윈디 그린,406900,14,14,526,712,42,436600,15,-29700,-1,2.66%
2025-07-02,윈디 화이트,980420,32,33,1034,1398,92,1040020,35,-59600,-2,3.09%
2025-07-02,턱밴드,166400,13,13,100,157,19,179200,14,-12800,-1,13.00%
2025-07-02,토끼(브라운),0,0,0,11,16,1,0,0,0,0,0.00%
2025-07-02,토끼(핑크),0,0,0,12,18,1,0,0,0,0,0.00%
2025-07-02,히트건 민트,0,0,0,41,94,39,0,0,0,0,0.00%
2025-07-02,히트건 블루,0,0,0,39,46,6,0,0,0,0,0.00%
2025-07-02,히트건 핑크,0,0,0,20,26,5,0,0,0,0,0.00%
2025-07-02,히트건 화이트,0,0,0,14,16,3,0,0,0,0,0.00%
