날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-14,DH리프팅,467820,17,17,110,300,117,523820,19,-56000,-2,15.45%
2025-07-14,곰(베이지),22910,1,1,44,67,7,45820,2,-22910,-1,2.27%
2025-07-14,넥쎄 화이트,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-14,노비어,702000,38,39,666,988,194,720000,40,-18000,-1,5.71%
2025-07-14,닥터코링+,282100,13,13,70,198,70,282100,13,0,0,18.57%
2025-07-14,리필,142200,10,12,172,210,21,166200,14,-24000,-2,5.81%
2025-07-14,신방스,75600,7,7,42,66,9,86400,8,-10800,-1,16.67%
2025-07-14,아이씰12p,1022200,38,38,754,945,34,1102900,41,-80700,-3,5.04%
2025-07-14,아이씰6p,968500,61,65,498,667,75,1043000,70,-74500,-5,12.25%
2025-07-14,윈디 그린,82440,3,3,192,240,20,82440,3,0,0,1.56%
2025-07-14,윈디 화이트,85080,3,3,173,298,46,85080,3,0,0,1.73%
2025-07-14,턱밴드,89600,7,7,60,95,9,102400,8,-12800,-1,11.67%
2025-07-14,토끼(브라운),22910,1,1,18,23,3,22910,1,0,0,5.56%
2025-07-14,토끼(핑크),0,0,0,12,13,0,0,0,0,0,0.00%
2025-07-14,히트건 민트,156000,2,2,47,112,36,156000,2,0,0,4.26%
2025-07-14,히트건 블루,71830,1,1,36,46,5,71830,1,0,0,2.78%
2025-07-14,히트건 핑크,78000,1,1,19,27,4,78000,1,0,0,5.26%
2025-07-14,히트건 화이트,215490,3,3,28,43,5,215490,3,0,0,10.71%
